sentence,label,polygon_name,h3_cell,latitude,longitude,source,region,source_url,source_item_id,language
"wilayah berbentuk segi tiga di timur laut Afrika, yang dipertikaikan oleh Mesir dan Sudan serta ditadbir oleh Mesir.",no,مثلث حلايب,8353a0fffffffff,22.650665150000002,35.5948757,description,egypt,https://www.openstreetmap.org/relation/4081614,332917270763f114,ms
Pelajaran tenis persendirian ditawarkan.,no,,83674cfffffffff,10.46229565,-66.83131295000001,description,venezuela,https://www.openstreetmap.org/way/585252064,9aac252603938bf9,ms
Salah satu daripada beberapa tempat di kawasan ini.,no,Tar-o Sar (outer site),834353fffffffff,30.58889775,62.066776450000006,description,afghanistan,https://www.openstreetmap.org/way/548041915,8b35cc09a4fcea4c,ms
"Ditemui secara kebetulan oleh Ray Martin ketika terbang pada ketinggian 11,000 meter.",no,Running Man Rock,839d4dfffffffff,-22.2342085,138.59343255,description,australia,https://www.openstreetmap.org/way/1357774915,e52f2c6daf4c67e0,ms
Bilik persalinan untuk mata air panas,no,,831b20fffffffff,60.50744835,-45.333777749999996,description,greenland,https://www.openstreetmap.org/way/235199923,dbaf8c246c238ba4,ms
"Beberapa lelaki yang disebut dalam filem/buku “We of the Never Never”: Aeneas James Gunn, The Maluka, John McLennan, Tom Pearce, J.H. George Conway, William Cleary, Jack Angus Grant, Edward Liddle.",no,Elsey Cemetery,839c4bfffffffff,-15.07868075,133.1233692,description,australia,https://www.openstreetmap.org/way/263012688,a4b350fa988b3ed7,ms
Bahagian tanah besar Australia yang dikelaskan sebagai BW dalam sistem pengelasan iklim Köppen–Geiger.,no,,83b81bfffffffff,-26.442344900000002,128.98425255,description,australia,https://www.openstreetmap.org/relation/8043873,625e874a2fcd67a6,ms
Nampaknya satu sudut tiada pada struktur itu.,no,,836a12fffffffff,4.7370529,22.7134542,description,central-african-republic,https://www.openstreetmap.org/way/847721727,9a79fc0926438312,ms
Rumah tumpangan,no,La caz' a Chisy,83a250fffffffff,-21.13996735,55.4892943,description,reunion,https://www.openstreetmap.org/way/1019728759,083f49bdf6a21995,ms
menjual kraf yang dibuat oleh artis tempatan,no,Local Artists Tamarindo,836d6afffffffff,10.29873755,-85.84095925,description,costa-rica,https://www.openstreetmap.org/way/392328154,411885f8b3daaeb5,ms
"Di dalamnya, perabot kontemporari dan rotunda tangga telah dikekalkan.",no,"Beer, Sondheimer & Co. Gebäude",831faefffffffff,50.1159844,8.6676173,description,hessen,https://www.openstreetmap.org/way/42730588,6b03f260f8e42fab,ms
"Elektrik membekalkan lombong bauksit Weipa, kemudahan pemprosesan dan perbandaran yang terletak di sebelah barat Semenanjung Cape York di Queensland, Australia.",no,Weipa Solar Farm,839ce4fffffffff,-12.64685385,141.85648745,description,australia,https://www.openstreetmap.org/way/1229842269,1c891733227be641,ms
untuk pelajar penyelidikan,no,ABU Institute lib,835818fffffffff,11.15120385,7.65502275,description,nigeria,https://www.openstreetmap.org/way/483941738,45361615e390b1a7,ms
Logam lusuh atau seumpamanya?,no,,83540cfffffffff,15.16910425,-12.176872849999999,description,mauritania,https://www.openstreetmap.org/way/1079848653,8dfac4a3dba8ddef,ms
Landasan udara?,yes,Airstrip,8352e6fffffffff,15.22977665,44.983853100000005,description,yemen,https://www.openstreetmap.org/way/798881102,e589688820307ef6,ms
"Sisa nuklear, ditenggelamkan oleh bekas USSR dari 1966 hingga 1989",no,,830111fffffffff,72.5,35.0,description,russia-northwestern-fed-district,https://www.openstreetmap.org/relation/11285920,e9088cc3698b77f3,ms
Lompat ke navigasi,no,Launchpad 41/15,8321a9fffffffff,45.9736039,63.66350095,description,kazakhstan,https://www.openstreetmap.org/way/169401013,e316f8b8e6426ef9,ms
Dibuka pada Jun 2019,no,Trison,8372d6fffffffff,-4.262987799999999,139.68465105,description,indonesia-papua,https://www.openstreetmap.org/way/767407882,e0c46181d6f78444,ms
playa,yes,,8338d4fffffffff,26.347407500000003,1.4621255,description,algeria,https://www.openstreetmap.org/way/1251874682,4d89e54803598cc9,ms
Bekas tapak Holy Name Retreat House; dimiliki/dikendalikan oleh Keuskupan Katolik Green Bay.,no,,832740fffffffff,45.19913735,-87.34064065,description,us-wisconsin,https://www.openstreetmap.org/relation/11195573,ef1b719ae03b0453,ms
"Seni & Hiburan, Sekolah Tarian, Studio Tarian, Aktiviti Kanak-kanak, Sekolah Muzik, Organisasi Bukan Untung, Sekolah Persendirian, Tutor Persendirian, Seni Awam, Kelab Belia",no,San Angelo Broadway Academy,83488afffffffff,31.4527921,-100.46448895,description,us-texas,https://www.openstreetmap.org/way/782694783,27f525c411d99115,ms
Ia terletak 20 minit berjalan kaki dari bandar oasis M’hamid El Ghizlane.,no,Desert Camp Chraika,8338a4fffffffff,29.8385325,-5.7381302000000005,description,morocco,https://www.openstreetmap.org/way/1175183601,3e235c9d8355bc59,ms
doa-doa besar,no,2nd biggest Mosque,8358b5fffffffff,9.454903250000001,0.81155555,description,togo,https://www.openstreetmap.org/way/403445668,51f860d83e26c40a,ms
